n,m,density,avg_degree,log_n,log_m,mean_weight,std_weight,min_weight,max_weight,skew_weight,connected_components,best_algorithm,best_time_ms
396,16853,0.21548395,85.11616162,5.98141421,9.73228396,49.78963131,28.88591637,0.01205117,99.97744751,-0.00197474,1,prim,1.94573900
615,31393,0.16627208,102.09105691,6.42162227,10.35434022,50.21552389,28.87552688,0.01084267,99.99721527,-0.01682603,1,prim,3.63563700
4715,111432,0.01002695,47.26702015,8.45850420,11.62116982,50.03577684,28.84631977,0.01022750,99.99792480,-0.00554164,1,kruskal,27.89926500
332,3599,0.06550067,21.68072289,5.80513497,8.18841131,50.09458753,29.30389584,0.12558301,99.93705750,-0.01332331,1,kruskal,0.77378600
314,9148,0.18615820,58.26751592,5.74939299,9.12129056,50.46091272,29.01680448,0.01568851,99.98106384,-0.01853204,1,prim,1.13774400
4402,176968,0.01826936,80.40345298,8.38981426,12.08372420,49.91338192,28.81988134,0.01005187,99.99993134,0.00036660,1,kruskal,40.74006100
489,81252,0.68098160,332.31901840,6.19236249,11.30531072,49.93724070,28.86127052,0.01069370,99.99845886,0.00535882,1,prim,6.70052200
612,12051,0.06445557,39.38235294,6.41673228,9.39690292,50.04692996,28.91828632,0.01933818,99.99869537,0.00827854,1,prim,2.06503500
743,108142,0.39231207,291.09555855,6.61069604,11.59120046,49.98081172,28.85619415,0.01151159,99.99949646,0.00055969,1,prim,11.47130200
311,483,0.01001971,3.10610932,5.73979291,6.18001665,52.25947657,29.48609710,0.72414827,99.88445282,-0.05494761,1,kruskal,0.34006100
390,5601,0.07383824,28.72307692,5.96614674,8.63070043,50.03123654,29.11797538,0.01050836,99.95559692,0.00470062,1,prim,1.04196000
1221,78774,0.10576389,129.03194103,7.10742547,11.27433827,49.82578408,28.84469712,0.01008269,99.99762726,0.00291514,1,prim,12.45467400
570,65302,0.40268862,229.12982456,6.34563636,11.08677794,49.96652741,28.84435070,0.01080263,99.99944305,0.00177173,1,prim,6.57775700
638,20041,0.09862551,62.82445141,6.45833828,9.90553545,49.89574772,28.76273568,0.01022845,99.99686432,0.00874051,1,prim,2.68425600
629,18358,0.09294907,58.37201908,6.44413126,9.81782073,49.95386224,29.01175020,0.01229543,99.98535156,-0.00329475,1,prim,2.49374900
1076,54128,0.09359039,100.60966543,6.98100574,10.89910689,49.92921459,28.84130849,0.01204347,99.99859619,0.00381204,1,prim,7.34797700
906,134146,0.32721330,296.12803532,6.80903931,11.80668404,50.03824381,28.87317680,0.01032351,99.99962616,0.00092120,1,prim,16.22733800
5456,40235,0.00270374,14.74890029,8.60447120,10.60249254,50.09881808,28.90974831,0.01173060,99.99922180,-0.00701636,1,kruskal,15.20455300
356,25112,0.39740465,141.07865169,5.87493073,10.13110110,50.06120792,28.78714032,0.01919819,99.99878693,-0.00777816,1,prim,2.40885400
431,1794,0.01936006,8.32482599,6.06610809,7.49220304,49.75891724,29.04097442,0.04228968,99.94778442,0.03014934,1,kruskal,0.64629900
5719,50065,0.00306196,17.50830565,8.65154924,10.82107744,49.67063749,28.76075793,0.01229068,99.99913025,0.01595564,1,kruskal,17.98131600
3384,78663,0.01374258,46.49113475,8.12681372,11.27292818,49.81888652,28.79624422,0.01297833,99.99758911,0.00513010,1,kruskal,18.58964900
667,136733,0.61560661,409.99400300,6.50279005,11.82578540,49.97737017,28.84498297,0.01051041,99.99963379,-0.00048553,1,prim,11.44239300
1344,14060,0.01557902,20.92261905,7.20340552,9.55108917,50.25816890,28.76413798,0.02169592,99.96994781,-0.00803672,1,kruskal,3.56991800
522,48452,0.35631449,185.63984674,6.25766759,10.78832890,50.02117934,28.88612514,0.01081701,99.99545288,-0.00197818,1,prim,4.77694700
1729,178528,0.11950817,206.51012146,7.45529849,12.09250073,50.03299421,28.91684851,0.01027937,99.99911499,-0.00116038,1,prim,26.76421900
322,19165,0.37083261,119.03726708,5.77455155,9.86084098,50.12002804,28.79808551,0.01214013,99.98848724,0.00504082,1,prim,1.85824200
585,28148,0.16478164,96.23247863,6.37161185,10.24523158,49.92176687,29.01246087,0.01601856,99.99892426,0.00849465,1,prim,3.22918200
510,887,0.00683385,3.47843137,6.23441073,6.78784498,49.82208752,29.37881079,0.07272794,99.91626740,-0.02020762,1,kruskal,0.58867400
1590,37975,0.03006123,47.76729560,7.37148930,10.54468333,50.04971353,28.92208099,0.01076193,99.99677277,-0.00576217,1,prim,7.13867900
